bam,prop. sites covered >5x
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_TCAG.trim.bt2.bam,0.538214894
Pool_20_S4_L001_R1_001_AGTG.trim.bt2.bam,0.538614733
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_TGGT.trim.bt2.bam,0.541977248
Pool_24_S8_L001_R1_001_AGAC.trim.bt2.bam,0.544193916
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_GTGA.trim.bt2.bam,0.546857456
Pool_5_S5_L001_R1_001_CATC.trim.bt2.bam,0.547931424
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_GCTT.trim.bt2.bam,0.548975955
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_TCAG.trim.bt2.bam,0.549109348
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_AGAC.trim.bt2.bam,0.550138835
Pool_8_S8_L001_R1_001_TGTC.trim.bt2.bam,0.553758537
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_GCTT.trim.bt2.bam,0.555612309
Pool_2_S2_L001_R1_001_TCAG.trim.bt2.bam,0.565891887
Pool_4_S4_L001_R1_001_TGTC.trim.bt2.bam,0.567300116
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_AGTG.trim.bt2.bam,0.574289573
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_TGGT.trim.bt2.bam,0.579770238
Pool_21_S5_L001_R1_001_CATC.trim.bt2.bam,0.581093952
Pool_19_S3_L001_R1_001_GACT.trim.bt2.bam,0.581542608
Pool_20_S4_L001_R1_001_GCTT.trim.bt2.bam,0.584041856
Pool_5_S5_L001_R1_001_TCAC.trim.bt2.bam,0.584053756
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_ACCA.trim.bt2.bam,0.584069399
Pool_23_S7_L001_R1_001_ACCA.trim.bt2.bam,0.584461937
Pool_13_S13_L002_R1_001_GACT.trim.bt2.bam,0.587604004
Pool_19_S3_L001_R1_001_CTAC.trim.bt2.bam,0.591320768
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_AGAC.trim.bt2.bam,0.591568203
Pool_20_S4_L001_R1_001_CATC.trim.bt2.bam,0.59375323
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_GCTT.trim.bt2.bam,0.593777404
Pool_15_S15_L002_R1_001_TGGT.trim.bt2.bam,0.595432007
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_GTGA.trim.bt2.bam,0.596020957
Pool_9_S9_L002_R1_001_AGTG.trim.bt2.bam,0.59881717
Pool_2_S2_L001_R1_001_CTAC.trim.bt2.bam,0.602202828
Pool_20_S4_L001_R1_001_GACT.trim.bt2.bam,0.606122855
Pool_20_S4_L001_R1_001_CTAC.trim.bt2.bam,0.607095392
Pool_3_Jaskiel_Lane1_S3_L003_R1_001_CTAC.trim.bt2.bam,0.608396985
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_AGAC.trim.bt2.bam,0.609519935
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_AGAC.trim.bt2.bam,0.612409304
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_GTGA.trim.bt2.bam,0.612534365
Pool_14_Jaskiel_Lane2_S14_L004_R1_001_TGTC.trim.bt2.bam,0.613516556
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_AGTG.trim.bt2.bam,0.614226681
Pool_17_S1_L001_R1_001_TGGT.trim.bt2.bam,0.614678851
Pool_1_S1_L001_R1_001_TGGT.trim.bt2.bam,0.614782918
Pool_21_S5_L001_R1_001_AGTG.trim.bt2.bam,0.615215656
Pool_7_Jaskiel_Lane1_S7_L003_R1_001_CATC.trim.bt2.bam,0.617520439
Pool_19_S3_L001_R1_001_CATC.trim.bt2.bam,0.617672432
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_AGTG.trim.bt2.bam,0.618116293
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_GCTT.trim.bt2.bam,0.619483208
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_TCAG.trim.bt2.bam,0.620523939
Pool_8_S8_L001_R1_001_TCAG.trim.bt2.bam,0.622703106
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_TCAC.trim.bt2.bam,0.623914493
Pool_16_S16_L002_R1_001_TCAC.trim.bt2.bam,0.624755844
Pool_12_Jaskiel_Lane2_S12_L004_R1_001_CTAC.trim.bt2.bam,0.627197308
Pool_13_S13_L002_R1_001_CTAC.trim.bt2.bam,0.627694654
